since,until,text,createdAt
2025-01-01,2025-01-31,"@AsahPolaPikir Ya murah, bayak AI dan robot berarti PHK atau setidaknya gak ada lapangan kerja baru, dst berarti daya beli turun, daya beli turun, menuju deflasi besar2an",Thu Jan 16 11:53:46 +0000 2025
2025-01-01,2025-01-31,"Adopsi AI Bikin 41% Perusahaan PHK Karyawan, Ini Kata Pengusaha https://t.co/mOkjXf1kPe",Thu Jan 16 06:23:31 +0000 2025
2025-01-01,2025-01-31,AI Diprediksi Picu Lebih Banyak PHK di Masa Depan https://t.co/0VGqtXOvSe,Wed Jan 15 04:23:59 +0000 2025
2025-01-01,2025-01-31,PHK Meta: Apakah Terjadi Karena AI?  15 Januari 2025   https://t.co/pPmEYaWLA9 https://t.co/sVXeiNiCPJ,Wed Jan 15 03:05:09 +0000 2025
2025-01-01,2025-01-31,"Revolusi cara kerja: Kolaborasi manusia-AI tingkatkan efisiensi 45%, ubah ancaman PHK jadi peluang karir. #Headline https://t.co/DSVzGt8Jvy",Wed Jan 15 02:45:00 +0000 2025
2025-01-01,2025-01-31,"Pekerjaan seperti petugas pos dan sekretaris eksekutif terancam oleh otomatisasi, sementara 70% perusahaan mencari pekerja dengan keahlian AI. Meskipun AI dapat meningkatkan keterampilan manusia, beberapa pekerja telah mengalami PHK, termasuk dari Dropbox dan Duolingo.",Tue Jan 14 11:24:35 +0000 2025
2025-01-01,2025-01-31,Laporan World Economic Forum (WEF) menyatakan bahwa 41% perusahaan global berencana mengurangi tenaga kerja pada 2030 karena pekerjaan akan digantikan oleh kecerdasan buatan (AI).   #MajaLabs #Web3 #WEF #AI #PHK https://t.co/pQTS1FfB3d,Tue Jan 14 11:23:42 +0000 2025
2025-01-01,2025-01-31,"Waduh, 41 Persen Perusahaan di Seluruh Dunia Rencanakan PHK Massal Akibat AI https://t.co/fQTRZGqpxP",Mon Jan 13 02:22:55 +0000 2025
2025-01-01,2025-01-31,"Yang punya $sui nganggur, coba aja stake 1-5 sui di @nansen_ai   https://t.co/Dx1nZUC4Pq",Wed Jan 29 21:24:40 +0000 2025
2025-01-01,2025-01-31,"Fuji TV Executives Resign Amid Masahiro Nakai Scandal  MESA, Ariz. (https://t.co/vHRrFGhgj4) --Fuji TV president Koichi Minato and chairman Shuji Kanoh resign following a scandal involving Masahiro Nakai, leading t... #Entertainment https://t.co/qWbng1vXSM",Tue Jan 28 17:29:23 +0000 2025
2025-01-01,2025-01-31,@sendmyloveto_ Udah ai gausah malu malu kita gpp kok yg udah resign pgn balik lagi gpp,Tue Jan 28 13:36:52 +0000 2025
2025-01-01,2025-01-31,Jika ai benar bisa mengancam pekerjaan manusia maka yg di lakukan negara2 pengembangnya disebut program cipta pengangguran   Jadi Jika saat ini anda adlh seorng pengangguran anda tidak perlu kawatir krna anda sudah terbiasa,Mon Jan 27 20:46:52 +0000 2025
2025-01-01,2025-01-31,"@bythyag @zhr_jafri Nah, India isn't even in AI race. For ex  ye iit Delhi ke thulle internship bhi shi se nhi krte bich me hi resign kr dete hai.  AI kya khak krenge 😂",Mon Jan 27 05:36:37 +0000 2025
2025-01-01,2025-01-31,Euy libur panjang th batur nu boga plan liburan mh bungah we ai urg nu te boga duit+nganggur knh+te boga plan liburn mh beki rudet cicing wae diimah😀,Sun Jan 26 12:56:03 +0000 2025
2025-01-01,2025-01-31,"istilahnya langsung bisa productizing llms, karena sekarang tinggal ngedeploy small models ke banyak PC/smartphone, GPU yg nganggur dipakai jualan cloud AI service yg lebih panjang reasoning/infeence time nya yg gak sanggup dikerjakan oleh PC/smartphones",Sun Jan 26 09:17:32 +0000 2025
2025-01-01,2025-01-31,"Euy naha nya timing teh meni sok tara pas. Kamari2 pas abi nuju nganggur, p3rc3raian teu di proses wae ai pas tos mulai kerja tos mulai diproses gera atuh maenya anyar kerja meni kedah ijin2 gera angger keneh wae we teu tenang ah 😭",Fri Jan 24 07:30:05 +0000 2025
2025-01-01,2025-01-31,@kegblgnunfaedh ika masih nganggur mending jadi yutuber nder..memaksimalkan teknologi AI modal Hp android...salah satu penghasilan chanel yutub saya...dari 7 chANEL.. https://t.co/dUchLep0Xz,Thu Jan 23 18:23:59 +0000 2025
2025-01-01,2025-01-31,"@budimandjatmiko @ZJU_China Coba lo buat Algoritma, gmn caranya ngatasin kemiskinan, stunting dn pengangguran. Lo bikin AI lah. Ap lo tnya Chat GPT aj… Jgn jadiin negara ini cumen bayar gaji para pejabat yg unfaedah…miris",Thu Jan 23 04:48:56 +0000 2025
2025-01-01,2025-01-31,"Orang seneng banget denger istilah-istilah yang gak mereka pahami.  Coding, AI, digitalisasi.  Tai babi.  Fokus manufactur, njing kalau mau pengangguran berkurang, pelan-pelan sejahtera.  Asu.",Wed Jan 22 10:52:00 +0000 2025
2025-01-01,2025-01-31,"Lho, bener kan? Ada ga yg nyebut didu buzzer Ford/Soros?  Ga ada .. meskipun semua terkoneksk dng isu masyarakat adat, propaganda kebencian anti China, bikin org pada nganggur agar negara banyak utang, usir/fitnah investor dll yg bikin negara ngos²an ? Malah akun² AI kompak ngetik pembela rakyat, rakyat dari hongkong 😅",Wed Jan 22 04:14:02 +0000 2025
2025-01-01,2025-01-31,"Gak sabar banget meet my true AI companion #GalaxyS25 Series #AIUnderstandsYou ! #TheNewestGalaxy  Penasaran sama fitur #GalaxyAI yang baru: gemini yang terintegrasi sama banyak aplikasi, sambil nyetir bisa lakuin banyak hal, bisa sambil meeting, mempermudah workflow saya.",Thu Jan 30 14:21:34 +0000 2025
2025-01-01,2025-01-31,"@txtdrimhswa @zeydpm @dewapuci Jelas, tapi semua lakuin hal yang sama. Even kita pun buat generative AI juga bakal nutupin data g30spki, malaria, munir, dll. As long as the generative ai mempermudah kerjaan dengan output lebih baik, political view kek gini ga perlu (kecuali ngaruh ke kehidupan)",Thu Jan 30 10:25:26 +0000 2025
2025-01-01,2025-01-31,"@Iderjagadd @neohistoria_id Yang dibahas apa? AI vs seniman, AI menggantikan manusia, Ai dimanfaatin pemerintah untuk menciptakan distopia? Tema tersebut sama basinya, padahal jawabannya sudah jelas kalau AI hanya alat bantu untuk mempermudah pekerjaan manusia.",Wed Jan 29 14:41:23 +0000 2025
2025-01-01,2025-01-31,Solusi cerdas untuk merawat lapangan badminton! 🏸 Tau nggak sih kalau AI bisa mempermudah perawatan lapangan badminton? dari mendeteksi kerusakan lapangan secara otomatis hingga mengatur pencahayaan,Wed Jan 29 11:20:19 +0000 2025
2025-01-01,2025-01-31,"Akhir-akhir ini sering pakai AI untuk bantu kerja dan ternyata emang mempermudah banget pas lagi buntu atau males mikir. Tapi ya gitu hasilnya masih kaku dan nggak sesempurna itu, masih perlu manusia biar feelnya lebih nyampek.",Wed Jan 29 04:03:26 +0000 2025
2025-01-01,2025-01-31,"Masalahnya, bukannya akan mempermudah kita dalam bekerja tapi ada potensi dia akan menggantikan ""peran"" kita. AI sebagai mesin produksi akan menggantikan kita 'lagi' sebagai tenaga kerja.   Si ""pemilik modal"" akan mendapat keuntungan lebih, si ""pekerja"" akan kehilangan pekerjaan.",Wed Jan 29 01:10:33 +0000 2025
2025-01-01,2025-01-31,"@YuriAndriyanto @jaymeyeremia @3Section_ Ga ada yg salah, AI di ciptakan untuk mempermudah sekaligus memeprdalam pengetahuan layaknya buka di perpustakaan . Yg jadi masalah orng ga tau apa apa tapi cuma diam aja. Dan yg lebih parahnya lagi orng mau cari tau malah di nyinyir, seprti anda ini.",Sat Jan 25 21:18:01 +0000 2025
2025-01-01,2025-01-31,@SerbaSrbiCrypto Analisis AI canggih mempermudah pengambilan keputusan trading,Sat Jan 25 09:54:27 +0000 2025
2025-01-01,2025-01-31,"diterapin kan biar mempermudah, tapi pada praktiknya malah bikin lebih ribet dan lama :^) ditambah cyber security negara ini kan… begitu, jadi orang-orang wary buat ngikut aturan itu.  dan kebanyakan orang gak pernah dapet pelajaran kayak AI itu apa, pemakaian &amp; regulasinya gmn",Sat Jan 25 04:32:27 +0000 2025
2025-01-01,2025-01-31,"5/ “Tapi inget, AI cuma alat. Yang bikin risetmu impactful tetap kamu.”  Pakai AI untuk efisiensi, tapi kamu yang harus analisa dan ambil keputusan. AI itu bantu kerja lebih ringan, tapi tetap kamu yang punya kendali.",Thu Jan 23 01:14:03 +0000 2025
2025-01-01,2025-01-31,"@manusiadinesol @lemonsstah__ ga apple to apple banget, ojol mah yg jalanin tetep manusia, cuma dibantu sama aplikasi untuk mempermudah nyari pelanggan, kalo ai mah yg kerja cuma mesin, manusianya cuma nulis perintah doang, kalo mau dibandingin mah pelukis kanvas vs pelukis digital baru bisa dibandingin",Thu Jan 23 01:02:24 +0000 2025
2025-01-01,2025-01-31,@samsungID AI Samsung bakalan ngebantu dan mempermudah sih ini Menangin Min #AIUnderstandsYou #SiPalingNgertiLyodra #GalaxyUnpacked,Wed Jan 22 18:46:02 +0000 2025
2025-01-01,2025-01-31,Berikut daftar AI tools terbaik untuk tingkatkan produktivitas kerja yang ideal untuk ibu pekerja! Mulai dari Chat GPT hingga Synthesia ada di sini! https://t.co/2pDX4ynEqh,Wed Jan 22 10:00:02 +0000 2025
2025-01-01,2025-01-31,@bliblidotcom @samsungID Kepo deh sama fitur Galaxy AI terbaru! Gak sabar nonton #GalaxyUnpacked! #GalaxyUnpackedxBlibli Menangin Min semoga Galaxy AI makin mempermudah hidup!,Wed Jan 22 08:15:53 +0000 2025
2025-01-01,2025-01-31,"@lemonsstah__ terimakasih AI sudah hadir untuk menghibur , dan mempermudah umat manusia 🤝",Wed Jan 22 07:07:32 +0000 2025
2025-01-01,2025-01-31,"🤖 AI bisa makin cerdas, tapi bisakah dia benar-benar menggantikan manusia?  Menurut Alan Turing, kecerdasan itu bukan cuma soal hitung-hitungan. Ada 8 jenis kecerdasan yang dimiliki manusia. Yuk, kita bahas! 👇",Thu Jan 30 06:48:03 +0000 2025
2025-01-01,2025-01-31,"Keterampilan Manusiawi: Kreativitas, ketahanan, fleksibilitas, kepemimpinan, dan pengaruh sosial juga sangat penting di era AI. Ini penting karena GenAI dinilai memiliki kemampuan terbatas untuk menggantikan manusia dalam hal keterampilan yang bersifat personal.",Thu Jan 30 04:53:46 +0000 2025
2025-01-01,2025-01-31,"Stop bermimpi kalao AI AGENT bakal gantiin pekerjaan manusia.  Sorry yee, AI Agent gabakal bisa gantiin kerjaan manusia, AI Agent gabisa pulang cepet sebelum jam pulang, gabisa izin sakit kalau deket tanggal merah. Dan AI Agent gabisa tiba-tiba diajak bos rapat di private villa",Tue Jan 28 04:38:53 +0000 2025
2025-01-01,2025-01-31,"@yunepto Karena pada dasarnya trade itu liquidity to liquidity, saat ini market sedang chaos. Karena bubble AI yang overvalued hingga saat ini, contohnya darimana? Ketika blackrock bilang kalau AI bisa gantiin manusia, padahal yah cuman bubble dan exit liquidity aja itumah.",Tue Jan 28 04:11:34 +0000 2025
2025-01-01,2025-01-31,"Ada sejumlah isu kunci dalam pedoman AI @dewanpers  ini: AI sifatnya membantu, bukan menggantikan manusia; transparan dlm penggunaannya; berhati-hati dengan akurasi dan kebenaran info dari AI, hak cipta dan perlindungan data pribadi.",Fri Jan 24 09:50:42 +0000 2025
2025-01-01,2025-01-31,@Atuung95 Takut ai menggantikan manusia,Mon Jan 20 15:38:39 +0000 2025
2025-01-01,2025-01-31,Daripada energi habis buat khawatir Ai bakal gantiin kerjaan kita atau engga Mendingan energinya dipake buat belajar supaya kita bisa kerja berdampingan sama Ai 💯,Sat Jan 18 13:00:11 +0000 2025
2025-01-01,2025-01-31,"@convomf AI tug gabakal bisa gantiin manusia, tetapi membantu. Kita yg harus pinter2",Sun Jan 12 05:12:17 +0000 2025
2025-01-01,2025-01-31,"@gara_nam That's what L3Harris said! Kalau AI belum bisa mengerti konteks suatu hal, kenapa expect mereka bisa menggantikan manusia? AI cuma bagus dalam kondisi yang super deterministik, yang mana itu jelas jarang terjadi di dunia nyata 😁 https://t.co/LU2n00J1YO",Sun Jan 12 01:53:17 +0000 2025
2025-01-01,2025-01-31,"@haekuss AI memanh membantu, tpi jadi mikir dampaknya nnti akan sedasyat apa ya untung menggantikan manusia",Sat Jan 11 16:43:21 +0000 2025
2025-01-01,2025-01-31,"6/ Apakah AI Agent akan menggantikan manusia? Tidak sepenuhnya. AI Agent lebih sebagai alat untuk membantu manusia bekerja lebih efisien, bukan untuk menggantikan peran kita sepenuhnya. Kolaborasi manusia dan AI adalah masa depan! 🌍",Sat Jan 11 02:49:39 +0000 2025
2025-01-01,2025-01-31,"AI semakin menggantikan manusia dalam berbagai aspek kehidupan, tetapi ini tidak harus dilihat sebagai ancaman melainkan sebagai peluang untuk menciptakan dunia yang lebih efisien, aman, dan inovatif.   Tantangannya adalah bagaimana kita beradaptasi, memastikan bahwa keuntungan dari AI didistribusikan secara adil, dan menjaga aspek kemanusiaan dalam era teknologi yang semakin maju",Fri Jan 10 21:14:15 +0000 2025
2025-01-01,2025-01-31,"@TimpalBali AI menurutku harusnya bantu memudahkan pekerjaan rumah biar seniman bisa bebas berkarya. Bukan gantiin kerjaan seniman, jd senimannya bisa bebas cuci piring d rumah tanpa diganggu kerjaan 😞",Fri Jan 10 00:39:33 +0000 2025
2025-01-01,2025-01-31,"ga kebayang 2030 nanti jadinya gimana ini, AI yang sekarang udah lounch dimana dimana dan nanti di maa mendayang banyak yang bakal nge gantiin kerjaan human😔😔  #loker #Humanformers",Thu Jan 09 19:19:53 +0000 2025
2025-01-01,2025-01-31,"/kle jurusan DKV dan animasi 2D/3D prospek kerjanya gmna ya skrg?? banyak denger"" AI udh bisa gantiin kerjaan"" yg simple dari bidang ini🙂",Thu Jan 09 12:37:14 +0000 2025
2025-01-01,2025-01-31,DeepSeek dan Disrupsi Masif dari AI  https://t.co/9vUkjcXAOz,Thu Jan 30 07:13:29 +0000 2025
2025-01-01,2025-01-31,Menteri Keuangan Sri Mulyani mengingatkan tentang ketidakpastian global akibat disrupsi AI. Begini katanya: https://t.co/EQ0FhskqA1,Thu Jan 30 05:26:11 +0000 2025
2025-01-01,2025-01-31,"Ini juga didukung oleh kemajuan teknologi seperti AI dan pemrosesan informasi, robotika, serta otomatisasi.",Thu Jan 30 04:53:42 +0000 2025
2025-01-01,2025-01-31,"DeepSeek Bikin Geger Dunia, Sri Mulyani Ingatkan Ancaman Disrupsi AI. Menteri Keuangan Sri Mulyani mengingatkan tentang ketidakpastian global akibat disrupsi AI. https://t.co/UPt1LsUVlk",Thu Jan 30 03:37:04 +0000 2025
2025-01-01,2025-01-31,"Riset Populix menunjukkan bahwa pekerjaan berbasis teknologi, profesi penerjemah, pekerjaan di bidang media termasuk yang paling rentan terpengaruh otomatisasi dan AI.  Ingin tahu temuan menarik lainnya? Scan QR code di bawah untuk mengunduh laporan lengkapnya. Atau kunjungi https://t.co/Z3AY0YrtKd untuk temukan laporan tentang topik menarik lainnya! ✨  #Populix #NextGenResearch #FutureOfWork",Thu Jan 30 03:17:34 +0000 2025
2025-01-01,2025-01-31,"Memperkenalkan Agent Forge, platform pengubah permainan untuk menciptakan agen AI otonom dari @AITECHio, bestie!   Sederhanakan otomatisasi dan dapatkan wawasan dengan mudah, tanpa memerlukan pengkodean.  Pelajari lebih lanjut di postingan #AITECH  berikut ini!  $AITECH",Thu Jan 30 02:47:20 +0000 2025
2025-01-01,2025-01-31,"Ketika ada pemain baru masuk ke pasar menawarkan produk/layanan yg lebih baik dengan harga lebih murah, pasti akan menimbulkan disrupsi di pasar tersebut. Inilah yang terjadi pada DeepSeek. Masuk ke pasar AI dengan kemampuan lebih baik dan gratis pula. Pasar langsung terguncang",Wed Jan 29 23:21:57 +0000 2025
2025-01-01,2025-01-31,"Platform #AITECH memberdayakan bisnis untuk membangun agen AI khusus, mendorong pertumbuhan, otomatisasi, dan pengalaman luar biasa.  Temukan kekuatan AI dan mulailah mencapai tujuan kalian: https://t.co/ROCMgHVtgc!  Rasakan masa depan sekarang bersama @AITECHio!   $AITECH",Wed Jan 29 16:38:30 +0000 2025
2025-01-01,2025-01-31,"AI &amp; Job Automation: Ancaman atau Peluang? 🚨 Banyak pekerjaan akan terdampak otomatisasi AI, tapi jangan panik! 💡 Solusi: Kembangkan skill yang AI tidak bisa gantikan, seperti: Problem-Solving &amp; Critical Thinking Human-Centered Decision Making Soft Skills&amp;Emotional Intelligence",Wed Jan 29 16:23:19 +0000 2025
2025-01-01,2025-01-31,Beberapa orang udah point out kalo comotan MCku ini perilaku obses karena persona MCku bisa disalahgunain jadi bahan sange.   Tapi datanya udah aku disrupsi pake muntalk sama retweet sampah dan tweet OOC lain. Jadi persona dari AI itu udah gak authentic.   Stay alert kawan.,Wed Jan 29 06:03:41 +0000 2025
2025-01-01,2025-01-31,"Berandai-andai, semisal kita masih komunal primitif mungkin akan senang2 aja, dengan adanya semua mesin produksi, otomatisasi, sampai AI ini. Semua akan mendapatkan manfaat untuk mengurangi ""jam kerja"", supaya bisa segera berdiskusi lagi dan bakar ikan di api unggun bersama.",Wed Jan 29 01:05:04 +0000 2025
2025-01-01,2025-01-31,"Dan sekarang, manusia tidak sadar lagi dengan adanya Otomatisasi, AI ini akan membawa kita ke sistem apa ya?  Bagi kita yang merasa keilmuan, hafalan, keahlian dalam menghitung, mengolah data, dll sudah cukup banyak ini apakah akan kehilangan keuntungannya?",Wed Jan 29 00:49:32 +0000 2025
2025-01-01,2025-01-31,🌍Just in #technology: Pemenang Terbesar Dalam Kisah Disrupsi DeepSeek Adalah AI Sumber Terbuka.  Selengkapnya: https://t.co/MhKzIRFgeR.   #Pomodo #OpenSourceAI #DeepSeek #AIRevolution,Tue Jan 28 22:31:05 +0000 2025
2025-01-01,2025-01-31,"3. Seimbangkan otomatisasi & sentuhan manusia  AI bagus untuk otomatisasi, tapi kalau kebanyakan, marketing-mu jadi terasa dingin.  Biarkan AI menangani data dan tugas teknis. Tambahkan sentuhan kreatif dan personal dari kamu.  Ingat, audiens ingin merasa dihargai, bukan sekadar angka.",Tue Jan 28 16:47:07 +0000 2025
2025-01-01,2025-01-31,"DeepSeek bikin pasar AI dan crypto anjlok $2.5B cuma dalam 24 jam! 🔥 Model AI dari China ini bikin geger: biaya super murah (14c/million tokens) tapi performa lebih gila dari OpenAI & Meta. Efeknya? Nvidia -20%, AI tokens turun belasan persen. Disrupsi nyata di depan mata!#AI #Crypto #DeepSeek",Tue Jan 28 08:54:50 +0000 2025
2025-01-01,2025-01-31,"Sekali-kali bahas AI nih  Menurut kalian apakah AI emang harusnya free access dan open source, atau itu malah jadi disrupsi untuk skena AI + pasar tech?  Soalnya dampaknya kan lumayan ya jadi ada diskon lucu di kripto🤭",Tue Jan 28 02:30:39 +0000 2025
2025-01-01,2025-01-31,"DeepSeek R1 adalah AI dari China yang open source &amp; gratis  Dikabarkan kemampuannya menyamai atau bahkan mengalahkan OpenAI  Hal ini diperkirakan akan membuat disrupsi di market AI. Bagus buat konsumen, tapi nggak buat perusahaan AI, krn harga potensi diturunkan &amp; laba tergerus https://t.co/9p8R57Wqgl",Mon Jan 27 07:31:00 +0000 2025
2025-01-01,2025-01-31,"Akankah AI Mengambil Pekerjaan Anda di Tahun 2025?  Perkembangan kecerdasan buatan (AI) terus melesat, membawa perubahan besar di berbagai sektor pekerjaan pada tahun 2025. AI mampu menggantikan tugas-tugas rutin dengan lebih efisien, mulai dari otomatisasi data hingga pengambilan keputusan berbasis analisis kompleks. Namun, apakah ini berarti pekerjaan manusia terancam?  Menurut para ahli, AI tidak serta-merta menghilangkan pekerjaan, melainkan menggeser kebutuhan keterampilan. Profesi yang mengandalkan kreativitas, empati, dan pengambilan keputusan strategis tetap membutuhkan sentuhan manusia. Sebaliknya, pekerjaan berbasis tugas berulang, seperti operator data atau kasir, kemungkinan besar akan tergantikan oleh teknologi otomatisasi.  Namun, tantangan ini juga membuka peluang baru. AI menciptakan kebutuhan akan profesi yang sebelumnya tidak ada, seperti spesialis pengelolaan data besar, pengembang algoritma, dan ahli etika teknologi. Dengan kata lain, manusia yang mampu beradaptasi dan belajar keterampilan baru akan tetap relevan di dunia kerja.  Untuk menghadapi perubahan ini, penting bagi individu untuk meningkatkan literasi teknologi. Memahami cara kerja AI dan memanfaatkan kemampuannya dapat memberikan keunggulan kompetitif. Selain itu, kolaborasi antara manusia dan AI justru dapat menghasilkan efisiensi yang lebih tinggi.  Namun, ada juga kekhawatiran mengenai kesenjangan ekonomi. Tidak semua orang memiliki akses atau kemampuan untuk beradaptasi dengan teknologi baru. Oleh karena itu, pemerintah dan perusahaan perlu mengambil langkah untuk memberikan pelatihan dan pendidikan yang relevan bagi pekerja.  Pada akhirnya, AI adalah alat yang kuat, tetapi manusia tetap memegang kendali. Dengan pendekatan yang bijak, AI dapat menjadi mitra yang mendukung pekerjaan manusia, bukan menggantikannya sepenuhnya. Tantangan tahun 2025 adalah bagaimana memanfaatkan teknologi ini untuk menciptakan masa depan yang inklusif dan berkelanjutan.",Mon Jan 27 06:25:16 +0000 2025
2025-01-01,2025-01-31,"Jaman sekarang kayanya bisa dah Pejabat sama Isolop diganti AI aja , lebih pinter juga 🤣",Thu Jan 30 14:31:36 +0000 2025
2025-01-01,2025-01-31,"@pian_cfp @OscarDarmawan Lah justru itu yg nggak bakal bisa diganti AI, pengambilan kebijakan dan keputusan.",Thu Jan 30 06:20:51 +0000 2025
2025-01-01,2025-01-31,@OscarDarmawan jabatan tinggi dengan gaji sangat tinggi yang hanya jadi pengamibil keputusan diganti AI aja,Thu Jan 30 05:12:00 +0000 2025
2025-01-01,2025-01-31,"@PFMOKE @sbmptnfess Bener wkwk, padahal lulusan akuntansi tetep susah diganti AI karena butuh critical thinking juga",Thu Jan 30 03:01:10 +0000 2025
2025-01-01,2025-01-31,"I do really want to have a kid so much, but I’m scared nasibnya kedepannya gimana… semua pekerjaan akan diganti dg AI, gaada yg ga bisa diganti AI challenge me.  skrg aja AI IQnya 121, just next couple year, bisa 1000x lipat dr skrg",Wed Jan 29 07:48:45 +0000 2025
2025-01-01,2025-01-31,"@woleswoosh @deepseek_ai AI lebih waras daripada pejabrut2, mereka diganti AI aja kali ya?",Wed Jan 29 07:38:55 +0000 2025
2025-01-01,2025-01-31,"Orang2 bilang suatu saat pekerjaan bakal diganti AI. Setidaknya itu yang dirasakan ChatGPT saat ini awkwowk  Even AI itself replaced with AI, that's insane.",Wed Jan 29 00:40:22 +0000 2025
2025-01-01,2025-01-31,"Selama 31 tahun yg sbntr lg 32. Menjadi kaya itu bukan pilihan tapi keharusan. Kotak amal pun butuhnya duit, ketanah suci pun butuh duit dll. Skill set spesifik sangat diwajibkan karena yg general bakal diganti AI. Sudah mengerikan itu teknologi AI berkembang",Tue Jan 28 11:51:28 +0000 2025
2025-01-01,2025-01-31,kepikiran beberapa tahun kedepan akun polisi dengan cenblue ini bakal dilepas orang asli dan diganti AI yang ambil data twit berdasarkan minimal 1000 twit sebelumnya biar keliatan luwes  jadi lebih efektif... buat nyapu😬,Tue Jan 28 07:07:14 +0000 2025
2025-01-01,2025-01-31,@cippieee kalau mau tayang kayaknya harus diganti ai deh yg bermasalah itu contohnya brocade odyssey,Mon Jan 27 11:21:23 +0000 2025
2025-01-01,2025-01-31,"@vinaanggraeni81 perawat mba, profesi yg gak bakal/masih lama diganti ai",Mon Jan 27 10:42:38 +0000 2025
2025-01-01,2025-01-31,"Setuju wkwkw padahal akuntansi bukan cuma bikin laporan doang, critical thinking buat sekarang dan mungkin beberapa tahun ke depan masih susah diganti AI.",Mon Jan 27 09:46:07 +0000 2025
2025-01-01,2025-01-31,"@wandadesign755 Mungkin mereka takut kalau posisi CEO dan Manajemen sebenarnya lebih bisa diganti AI toh kalau pakai AI beneran lebih hemat, gaji CEO kan menurut riset 400-800 persen gaji pegawainya.",Mon Jan 27 06:44:31 +0000 2025
2025-01-01,2025-01-31,Duh lama2 klo diganti AI/Mesin kita ni kerja apa,Sat Jan 25 15:33:52 +0000 2025
2025-01-01,2025-01-31,"@19vsd Soalnya patch berapa gitu, VA en itu mau diganti ai setauku, makanya VA en pada mogok kerja",Sat Jan 25 08:57:14 +0000 2025
2025-01-01,2025-01-31,"@tanyarlfes dikasih gambaran buat nanti kedepannya dibilang  ""kayak 2030 masih idup aja""  nanti kejadian beneran nyalahin keadaan, nyalahin pemerintah, minta tolong karna lahan pekerjaannya diganti AI.   WKWKWKWK",Thu Jan 23 10:58:00 +0000 2025
2025-01-01,2025-01-31,@bacottetangga__ Next pngambil kputusannya diganti ai aja biar fair,Thu Jan 23 10:37:49 +0000 2025
